midday clock middle day	noon clock middle day
cock adult male chicken	rooster adult male chicken
cemetery place where dead people bodies their ashes are buried	graveyard area land sometimes near church where dead people are buried
gem jewel stone used jewelery	jewel precious stone used decorate valuable things you wear such rings necklaces
forest large area where trees grow close together	woodland land with lot trees
implement tool other piece equipment	tool any instrument simple piece equipment you hold your hands use do particular kind work
coast area land next sea	shores shore sea lake wide river land along edge
boy child who will grow up be man	lad young man boy
automobile car	car motor vehicle with room small number passengers
cushion fabric case filled with soft material which you put seat make more comfortable	pillow rectangular cushion which you rest your head when you are bed
grin broad smile	smile expression you have your face when you are pleased amused when you are being friendly
former times serfs were class people who had work particular person land could not leave without person permission	slave someone who property another person has work person
cord strong thick string	string thin rope made twisted threads used tying things together tying up parcels
autograph signature someone famous which specially written fan keep	your signature your name written your own characteristic way often end document indicate you wrote document you agree with what says
when you make journey you travel one place another	voyage long journey ship spacecraft
magician person who entertains people doing magic tricks	legends fairy stories wizard man who has magic powers
furnace container enclosed space which very hot fire made example melt metal burn rubbish produce steam	stove piece equipment which provides heat either cooking heating room
hill area land higher than land surrounds	mound something large rounded pile
ancient times oracle was priest priestess who made statements about future events about truth	sage person who regarded being very wise
food what people animals eat	fruit fruit something which grows tree bush which contains seeds stone covered substance you can eat
asylum psychiatric hospital	if you describe place situation madhouse you mean full confusion noise
crane large machine moves heavy things lifting them air	implement tool other piece equipment
bird creature with feathers wings females lay eggs most birds can fly	cock adult male chicken
sage person who regarded being very wise	legends fairy stories wizard man who has magic powers
hill area land higher than land surrounds	woodland land with lot trees
glass hard transparent substance used make things such windows bottles	tumbler drinking glass with straight sides
magician person who entertains people doing magic tricks	ancient times oracle was priest priestess who made statements about future events about truth
your brother boy man who has same parents you	lad young man boy
monk member male religious community usually separated outside world	ancient times oracle was priest priestess who made statements about future events about truth
boy child who will grow up be man	rooster adult male chicken
glass hard transparent substance used make things such windows bottles	jewel precious stone used decorate valuable things you wear such rings necklaces
coast area land next sea	hill area land higher than land surrounds
shores shore sea lake wide river land along edge	woodland land with lot trees
car motor vehicle with room small number passengers	when you make journey you travel one place another
forest large area where trees grow close together	graveyard area land sometimes near church where dead people are buried
cemetery place where dead people bodies their ashes are buried	mound something large rounded pile
food what people animals eat	rooster adult male chicken
cushion fabric case filled with soft material which you put seat make more comfortable	jewel precious stone used decorate valuable things you wear such rings necklaces
furnace container enclosed space which very hot fire made example melt metal burn rubbish produce steam	implement tool other piece equipment
fruit fruit something which grows tree bush which contains seeds stone covered substance you can eat	furnace container enclosed space which very hot fire made example melt metal burn rubbish produce steam
coast area land next sea	forest large area where trees grow close together
monk member male religious community usually separated outside world	slave someone who property another person has work person
your brother boy man who has same parents you	monk member male religious community usually separated outside world
boy child who will grow up be man	sage person who regarded being very wise
asylum psychiatric hospital	monk member male religious community usually separated outside world
asylum psychiatric hospital	cemetery place where dead people bodies their ashes are buried
cemetery place where dead people bodies their ashes are buried	woodland land with lot trees
mound something large rounded pile	shores shore sea lake wide river land along edge
bird creature with feathers wings females lay eggs most birds can fly	crane large machine moves heavy things lifting them air
lad young man boy	legends fairy stories wizard man who has magic powers
graveyard area land sometimes near church where dead people are buried	if you describe place situation madhouse you mean full confusion noise
automobile car	legends fairy stories wizard man who has magic powers
automobile car	cushion fabric case filled with soft material which you put seat make more comfortable
shores shore sea lake wide river land along edge	voyage long journey ship spacecraft
crane large machine moves heavy things lifting them air	rooster adult male chicken
noon clock middle day	string thin rope made twisted threads used tying things together tying up parcels
grin broad smile	lad young man boy
bird creature with feathers wings females lay eggs most birds can fly	woodland land with lot trees
cord strong thick string	smile expression you have your face when you are pleased amused when you are being friendly
glass hard transparent substance used make things such windows bottles	magician person who entertains people doing magic tricks
rooster adult male chicken	voyage long journey ship spacecraft
autograph signature someone famous which specially written fan keep	shores shore sea lake wide river land along edge
mound something large rounded pile	stove piece equipment which provides heat either cooking heating room
grin broad smile	implement tool other piece equipment
asylum psychiatric hospital	fruit fruit something which grows tree bush which contains seeds stone covered substance you can eat
